city,model,date,repeat_index,poi,whisker_low,q25,median,q75,whisker_high,iqr,reordered,clipped,whisker_outside_fence
san_antonio,Gemini-2.5-Pro,2020-03-02,0,Restaurants_and_Bars,-0.3,-0.12,-0.05,0.0,0.05,0.12,False,False,False
san_antonio,Gemini-2.5-Pro,2020-03-02,0,Retail,-0.3,-0.08,0.0,0.08,0.3,0.16,False,False,False
san_antonio,Gemini-2.5-Pro,2020-03-02,0,Arts_and_Entertainment,-0.65,-0.3,-0.18,-0.05,0.0,0.25,False,False,False
san_antonio,Gemini-2.5-Pro,2020-03-02,0,Educational_Settings,-0.12,-0.05,-0.01,0.0,0.0,0.05,False,False,False
san_antonio,Gemini-2.5-Pro,2020-03-09,0,Restaurants_and_Bars,-0.65,-0.3,-0.15,-0.05,0.0,0.25,False,False,False
san_antonio,Gemini-2.5-Pro,2020-03-09,0,Retail,-0.55,-0.2,-0.05,0.05,0.25,0.25,False,False,False
san_antonio,Gemini-2.5-Pro,2020-03-09,0,Arts_and_Entertainment,-1.0,-0.85,-0.65,-0.45,-0.2,0.39999999999999997,False,False,False
san_antonio,Gemini-2.5-Pro,2020-03-09,0,Educational_Settings,-1.0,-0.4,-0.1,0.0,0.0,0.4,False,False,False
san_antonio,Gemini-2.5-Pro,2020-03-16,0,Restaurants_and_Bars,-0.9,-0.7,-0.45,-0.3,0.0,0.39999999999999997,False,False,False
san_antonio,Gemini-2.5-Pro,2020-03-16,0,Retail,-0.8,-0.55,-0.3,0.05,0.25,0.6000000000000001,False,False,False
san_antonio,Gemini-2.5-Pro,2020-03-16,0,Arts_and_Entertainment,-1.0,-0.9,-0.75,-0.55,-0.3,0.35,False,False,False
san_antonio,Gemini-2.5-Pro,2020-03-16,0,Educational_Settings,-1.0,-0.95,-0.85,-0.65,-0.25,0.29999999999999993,False,False,False
san_antonio,Gemini-2.5-Pro,2020-03-23,0,Restaurants_and_Bars,-1.0,-0.9,-0.75,-0.6,-0.15,0.30000000000000004,False,False,False
san_antonio,Gemini-2.5-Pro,2020-03-23,0,Retail,-1.0,-0.7,-0.4,-0.15,0.2,0.5499999999999999,False,False,False
san_antonio,Gemini-2.5-Pro,2020-03-23,0,Arts_and_Entertainment,-1.0,-1.0,-0.95,-0.85,-0.625,0.15000000000000002,False,False,False
san_antonio,Gemini-2.5-Pro,2020-03-23,0,Educational_Settings,-1.0,-1.0,-0.9,-0.5,-0.1,0.5,False,False,False
san_antonio,Gemini-2.5-Pro,2020-03-30,0,Restaurants_and_Bars,-1.0,-0.85,-0.75,-0.65,-0.4,0.19999999999999996,False,False,False
san_antonio,Gemini-2.5-Pro,2020-03-30,0,Retail,-1.0,-0.8,-0.6,-0.35,-0.1,0.45000000000000007,False,False,False
san_antonio,Gemini-2.5-Pro,2020-03-30,0,Arts_and_Entertainment,-1.0,-0.98,-0.94,-0.88,-0.75,0.09999999999999998,False,False,False
san_antonio,Gemini-2.5-Pro,2020-03-30,0,Educational_Settings,-1.0,-0.99,-0.96,-0.92,-0.82,0.06999999999999995,False,False,False
