city,model,date,repeat_index,poi,whisker_low,q25,median,q75,whisker_high,iqr,reordered,clipped,whisker_outside_fence
san_antonio,GPT-4.1,2020-03-02,0,Restaurants_and_Bars,-0.25,-0.15,-0.07,0.0,0.03,0.15,False,False,False
san_antonio,GPT-4.1,2020-03-02,0,Retail,-0.22,-0.13,-0.05,0.02,0.06,0.15,False,False,False
san_antonio,GPT-4.1,2020-03-02,0,Arts_and_Entertainment,-0.4,-0.27,-0.12,0.0,0.04,0.27,False,False,False
san_antonio,GPT-4.1,2020-03-02,0,Educational_Settings,-0.12,-0.03,0.0,0.0,0.0,0.03,False,False,True
san_antonio,GPT-4.1,2020-03-09,0,Restaurants_and_Bars,-0.17,-0.06,-0.02,0.01,0.06,0.06999999999999999,False,False,True
san_antonio,GPT-4.1,2020-03-09,0,Retail,-0.13,-0.04,0.0,0.04,0.09,0.08,False,False,False
san_antonio,GPT-4.1,2020-03-09,0,Arts_and_Entertainment,-0.21,-0.14,-0.09,0.0,0.04,0.14,False,False,False
san_antonio,GPT-4.1,2020-03-09,0,Educational_Settings,-0.09,-0.03,0.0,0.01,0.03,0.04,False,False,False
san_antonio,GPT-4.1,2020-03-16,0,Restaurants_and_Bars,-0.55,-0.38,-0.18,-0.08,0.03,0.3,False,False,False
san_antonio,GPT-4.1,2020-03-16,0,Retail,-0.38,-0.2,-0.12,-0.04,0.08,0.16,False,False,False
san_antonio,GPT-4.1,2020-03-16,0,Arts_and_Entertainment,-0.85,-0.6,-0.48,-0.25,-0.08,0.35,False,False,False
san_antonio,GPT-4.1,2020-03-16,0,Educational_Settings,-0.78,-0.6,-0.42,-0.23,-0.07,0.37,False,False,False
san_antonio,GPT-4.1,2020-03-23,0,Restaurants_and_Bars,-0.93,-0.78,-0.65,-0.45,-0.22,0.33,False,False,False
san_antonio,GPT-4.1,2020-03-23,0,Retail,-0.77,-0.63,-0.5,-0.32,-0.1,0.31,False,False,False
san_antonio,GPT-4.1,2020-03-23,0,Arts_and_Entertainment,-1.0,-0.98,-0.94,-0.81,-0.62,0.16999999999999993,False,False,False
san_antonio,GPT-4.1,2020-03-23,0,Educational_Settings,-1.0,-0.995,-0.98,-0.89,-0.7,0.10499999999999998,False,False,True
san_antonio,GPT-4.1,2020-03-30,0,Restaurants_and_Bars,-0.97,-0.88,-0.75,-0.59,-0.34,0.29000000000000004,False,False,False
san_antonio,GPT-4.1,2020-03-30,0,Retail,-0.83,-0.67,-0.54,-0.41,-0.17,0.26000000000000006,False,False,False
san_antonio,GPT-4.1,2020-03-30,0,Arts_and_Entertainment,-1.0,-0.97,-0.93,-0.89,-0.72,0.07999999999999996,False,False,True
san_antonio,GPT-4.1,2020-03-30,0,Educational_Settings,-0.99,-0.96,-0.94,-0.91,-0.81,0.04999999999999993,False,False,True
